,NAME,WEBSITE_LINK,AVG_DEBT,AVG_MONTHLY_REPAY,FINANCIAL_AID_CALC,SCHOOL_MEDIAN_EARNINGS,NATIONAL_4_YEAR_MEDIAN,EARNINGS_VS_HS_GRAD,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,INDIGENOUS_POP,HAWAIIAN/PACIFIC_ISLANDER_POP,MULTIRACIAL_POP,UNKNOWN_RACE_POP,INTERNATIONAL_POP,COST_AFTER_AID_0_30,COST_AFTER_AID_30_48,COST_AFTER_AID_48_75,COST_AFTER_AID_75_110,COST_AFTER_AID_110,MONTHLY_REPAY_PERCENTAGE
3190,Ogle School Hair Skin Nails-Ft Worth,www.ogleschool.edu/,7917,83.9333759893205,https://www.ogleschool.edu/financial-aid/net-price-calculator,26885.0,31213.0,0.4133,0.3453,0.2399,0.3363,0.0067,0.0022,0.0022,0.0583,0.009,0.0,17532.0,17652.0,20347.0,21619.0,22222.0,0.03746328852043317
3191,Our Lady of the Lake University,https://www.ollusa.edu/,24999,265.031004971204,https://www.ollusa.edu/NetPriceCalculator,48675.0,53747.0,0.6561,0.0825,0.0688,0.7653,0.0052,0.0,0.0,0.0,0.0576,0.0206,18926.0,21125.0,22362.0,18415.0,24126.0,0.06533892264313196
3192,The University of Texas Rio Grande Valley,www.utrgv.edu/,12950,137.291552237173,www.collegeforalltexans.com/apps/CollegeMoney/,49620.0,53747.0,0.5982,0.0206,0.0041,0.9373,0.0102,0.0005,0.0004,0.0017,0.0086,0.0167,5971.0,6248.0,7841.0,12100.0,14709.0,0.03320231009363313
3193,Texas Southmost College,www.tsc.edu/,9000,95.414978388769,www.tsc.edu/index.php/financial-aid-office/net-price-calculator-.html,41900.0,40241.5,0.5827,0.0296,0.0014,0.9413,0.0022,0.0008,0.0,0.0,0.0198,0.0049,4298.0,5487.0,7961.0,9948.0,10219.0,0.02732648545740401
3194,Panola College,www.panola.edu/,10500,111.317474786897,www.highered.texas.gov/institutional-resources-programs/net-price-calculator/,36072.0,31213.0,0.5413,0.5467,0.223,0.1847,0.0034,0.0047,0.0,0.0208,0.0,0.0168,5915.0,6474.0,8013.0,10233.0,9312.0,0.03703176140615336
3195,Paris Junior College,www.parisjc.edu/,5342,56.6340905058671,www.highered.texas.gov/institutional-resources-programs/net-price-calculator/,36515.0,31213.0,0.5078,0.593,0.1107,0.2146,0.006,0.0158,0.0021,0.0329,0.0073,0.0175,6358.0,5823.0,8001.0,12659.0,,0.018611778339597568
3196,Paul Quinn College,www.pqc.edu/,23373,247.792698875633,pqc-edu.squarespace.com/finaid,29288.0,53747.0,0.4253,0.226,0.4787,0.0906,0.0139,0.0053,0.0043,0.1461,0.0309,0.0043,7121.0,6576.0,11643.0,15061.0,18012.0,0.1015266452645314
3197,Prairie View A & M University,www.pvamu.edu/,27000,286.244935166307,https://www.pvamu.edu/faid/cost-of-attendance/#cost,45411.0,53747.0,0.6057,0.0123,0.853,0.0813,0.008,0.002,0.0005,0.0273,0.0042,0.0114,9429.0,14024.0,16024.0,16204.0,18064.0,0.0756411270836512
3198,Ranger College,https://www.rangercollege.edu/,9500,100.715810521478,https://www.rangercollege.edu/financial-aid/,35552.0,40241.5,0.5132,0.5675,0.0375,0.3279,0.009,0.001,0.0005,0.0328,0.0024,0.0214,4080.0,4976.0,4263.0,9454.0,,0.033994985549553776
3199,Aviation Institute of Maintenance-Houston,https://aviationmaintenance.edu/campuses/houston-tx,31875,337.928048460223,https://aviationmaintenance.edu/your-rights,58327.0,31213.0,0.7406,0.24,0.2,0.38,0.128,0.004,0.0,0.044,0.004,0.0,18773.0,18433.0,23001.0,25268.0,25268.0,0.06952417545086625
