Unnamed: 0,NAME,WEBSITE_LINK,AVG_DEBT,AVG_MONTHLY_REPAY,FINANCIAL_AID_CALC,SCHOOL_MEDIAN_EARNINGS,NATIONAL_4_YEAR_MEDIAN,EARNINGS_VS_HS_GRAD,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,INDIGENOUS_POP,HAWAIIAN/PACIFIC_ISLANDER_POP,MULTIRACIAL_POP,UNKNOWN_RACE_POP,INTERNATIONAL_POP,COST_AFTER_AID_0_30,COST_AFTER_AID_30_48,COST_AFTER_AID_48_75,COST_AFTER_AID_75_110,COST_AFTER_AID_110,MONTHLY_REPAY_PERCENTAGE,Scraped_Calculator_URL
18,George C Wallace Community College-Dothan,www.wallace.edu/,PS,PS,www.wallace.edu/npcalc/,31399.0,31213.0,0.4709,0.5435,0.3258,0.0639,0.0098,0.0026,0.0016,0.0433,0.0078,0.0016,1328.0,1474.0,1628.0,6716.0,,,
19,George C Wallace State Community College-Hanceville,https://www.wallacestate.edu/,11000,116.6183069,https://www.wallacestate.edu/financial-aid/net-price-calculator.html,39842.0,31213.0,0.6142,0.7754,0.0839,0.0858,0.0062,0.0057,0.0,0.0335,0.0019,0.0076,10901.0,12948.0,10111.0,,15488.0,0.035124233,https://app.meadowfi.com/wallacestate
20,George C Wallace State Community College-Selma,https://www.wccs.edu/,PS,PS,https://www.wccs.edu/financial-aid/netprice-calculator,31598.0,40241.5,0.4191,0.1671,0.7874,0.0093,0.0082,0.0,0.0,0.0,0.0234,0.0047,1151.0,2449.0,4721.0,7550.0,,,
21,Herzing University-Birmingham,https://www.herzing.edu/,21500,227.9357817,https://www.herzing.edu/tuition-financial-aid/net-price-calculator,36909.0,31213.0,0.5858,0.2807,0.6456,0.0211,0.007,0.0035,0.0018,0.0211,0.0193,0.0,19256.0,23480.0,,26372.0,28152.0,0.074107382,https://www.herzing.edu/tuition-financial-aid/net-price-calculator
22,Huntingdon College,https://www.huntingdon.edu/,27000,286.2449352,https://www.huntingdon.edu/admission-aid/student-financial-services/net-price-calculator/,49601.0,53747.0,0.7252,0.6691,0.1914,0.0568,0.0037,0.0049,0.0012,0.0531,0.0198,0.0,21553.0,20958.0,23793.0,25059.0,25908.0,0.069251411,https://www.huntingdon.edu/admission-aid/student-financial-services/net-price-calculator/
23,Heritage Christian University,www.hcu.edu/,PS,PS,www.hcu.edu/netpricecalculator/,42597.0,53747.0,,0.8472,0.0833,0.0556,0.0,0.0,0.0,0.0139,0.0,0.0,3136.0,,5962.0,,,,
24,J. F. Drake State Community and Technical College,https://drakestate.edu/,PS,PS,https://drakestate.edu/wp-content/uploads/NetPriceCalculator.html,28281.0,31213.0,0.4236,0.245,0.6476,0.0415,0.0014,0.0029,0.0014,0.053,0.0014,0.0057,5016.0,4188.0,8576.0,,,,
25,J F Ingram State Technical College,www.istc.edu/,PS,PS,istc.edu/NetPrice/,,31213.0,,0.4076,0.569,0.0117,0.0026,0.0,0.0039,0.0026,0.0,0.0026,4471.0,,,,,,
26,Jacksonville State University,www.jsu.edu/,22189,235.2403284,www.jsu.edu/finaid/,45235.0,53747.0,0.6697,0.6134,0.2591,0.0018,0.0052,0.005,0.0013,0.0,0.0943,0.02,16020.0,17323.0,19932.0,21717.0,22020.0,0.062404862,
27,Jefferson State Community College,www.jeffersonstate.edu/,9689,102.7195251,www.jeffersonstate.edu/financial-aid/net-price-calculator/,40719.0,40241.5,0.6031,0.578,0.2571,0.087,0.0187,0.0032,0.0004,0.0321,0.0058,0.0177,5515.0,6316.0,8757.0,12082.0,13340.0,0.030271723,
28,John C Calhoun State Community College,https://calhoun.edu/,12000,127.2199712,https://calhoun.edu/student-services/financial-aid/net-price-calculator/,38192.0,31213.0,0.5554,0.6293,0.1645,0.0936,0.0223,0.0115,0.0011,0.0629,0.0069,0.0081,4850.0,6256.0,7896.0,9874.0,10912.0,0.03997276,
29,Lawson State Community College,www.lawsonstate.edu/,PS,PS,www.lawsonstate.edu/disclosure_and_consumer_information/general_institutional_information/net_price_calculator.aspx,31701.0,31213.0,0.4575,0.1065,0.8046,0.0427,0.0023,0.0008,0.0004,0.0364,0.0016,0.0047,3354.0,4123.0,6494.0,9796.0,7387.0,,
